madde,anlam,lisan,telaffuz
adı kalmak,"bir kimse veya bir şey öldükten, ortadan çekildikten sonra dillerde yalnız adı dolaşmak",,
adı karışmak,kötü bir işle birinin ilgisi bulunduğu söylenilmek,,
adı kötüye çıkmak,ünü kötü olarak yayılmak,,
adı olmak,"gereksiz, yersiz ünü olmak",,
adı sanı olmak,"bilinmek, tanınmak, ünlü olmak",,
adı sanı olmamak,kim olduğu bilinmemek,,
adı (bile) olmamak,değeri olmamak,,
adrenalini yükseltmek,korkusuzlaşmak,,
adres göstermek,birini hedef göstermek,,
ad almak,kendisine ad verilmek | ün kazanmak,,
ad çekmek,"iki veya daha çok aday arasında bir sıralama, bir ayırma yapılacağı zaman her birinde bir tek ad yazılı kâğıtları bir araya getirip karıştırdıktan sonra birini çekerek veya özel bir bilgisayar yazılımıyla adları belirlemek",,
ad çekmeye girmek,"kuraya tabi olmak | oyunun başlangıcında, alan seçimi, başlama atışı veya karşılama hakkı için öncelik sağlamak amacıyla kura çekmek [spor]",,
ad koymak,adlandırmak,,
ad takmak,adlandırmak | alay etmek veya övmek amacıyla lakap takmak,,
ad vermek,adlandırmak,,
ad yapmak,"bir alanda ün kazanmak, ün almak",,
afal afal bakmak,şaşkın bir biçimde bakmak,,
aferin almak,değerli görülüp beğenilmek,,
affa uğramak,bağışlanmak,,
afişte kalmak,oyun ilgi görerek günlerce oynanmak [tiyatro],,
afiş yutmak,yalana dolana kanmak,,
afiyet bulmak,"ruhsal ve bedensel olarak sağlıklı, sıhhatli duruma gelmek",,
afiyet üzere olmak,"ruhsal ve bedensel olarak sağlıklı, sıhhatli yaşıyor olmak",,
aforoz etmek,"aforozlamak [din bilimi] | darılıp biriyle konuşmamak, ilgiyi kesip kendinden uzaklaştırmak | birini sergilediği olumsuz eylemler sebebiyle toplum veya bir topluluktan dışlamak;  toplum dışılamak",,
afra tafra yapmak,"kendini üstün göstermek, böbürlenmek",,
afura tafura gelmemek,"kendini üstün göstermekten, üstünlük taslamaktan hoşlanmamak | böyle bir davranışa karşı tepki göstermek",,
afyonunu patlatmak,kendi keyfine dalmış olan birini öfkelendirmek,,
afyonu başına vurmak,"aşırı davranışlarda bulunacak kadar öfkelenmek, ne yaptığını bilememek",,
afyonu patlamak,"ayılmak, kendine gelmek",,
afyon çekmek,keyif için afyon yutmak,,
afyon yutmak,uyuşturucu olarak afyon kullanmak | gerçeği göremeyecek kadar kendinde olmamak,,
af çıkarmak,bir suçun bağışlanması için Türkiye Büyük Millet Meclisinden kanun çıkarmak,,
af dilemek,işlenen hata veya suç için bağışlanmayı istemek,,
agâh olmak,"bilgilenmek | haberli olmak, haberdar olmak",,
ağaç olmak,bir yerde ayakta durarak çokça beklemek,,
ağda yapmak,"vücuttaki fazla tüyleri ağda ile almak, temizlemek",,
ağına düşürmek,tuzağına düşürmek,,
ağırdan almak,"bir işi gereken süre içinde bitirmemek, geciktirmek | bir işi gönülsüz, isteksiz yapmak",,
ağırına gitmek,onuruna dokunmak veya gücüne gitmek,,
ağırlığını (ortaya) koymak,kimliğini ve kişiliğini kabul ettirmek,,
ağırlığı olmak,etkisi büyük olmak,,
ağırlık olmak,"sıkıntı vermek | birine yük olmak, kendi masrafını başkasına çektirmek",,
ağır basmak,ağırlık olarak fazla gelmek,,
