madde,anlam,lisan,telaffuz
sahneye çıkmak,"tiyatro, müzik vb. sanatçılar için sanatını izleyici önünde uygulamak, göstermek | kullanılmak, görünmek, ortaya çıkmak",,
sahneye koymak,"tiyatro eserini veya müzikal bir oyunu, metin, oyun, yorum, dekor, müzik vb. ögeleri birbiriyle uyumlu duruma getirerek sahne için uygulamak, oynamak, sahnelemek [tiyatro]",,
sahne almak,343 sahneye çıkmak,,
sahne olmak,bir yerde bir olay geçmek,,
sahura kalkmak,oruç tutan kimse gün doğmadan yemek yemek için yataktan kalkmak,,
sah çekmek,bir yazının doğru olduğunu bu işaretle belirtmek,,
sakalına ak (veya kır) düşmek,"sakalı ağarmaya başlamak, yaşlanmak",,
sakalına göre tarak vurmak,birinin hoşlanacağı biçimde konuşmak veya davranmak,,
sakalına gülmek,ciddi gibi görünen sözlerle alay etmek,,
sakalına kar yağmak,sakalı aklaşmaya başlamak,,
sakalının altına girmek,yakınlık kurarak ona düşüncesini aşılamak,,
sakalı bitmek,bir iş sürüncemede kalmak,,
sakalı değirmende ağartmamak,yıllar pek çok deneyim kazandırmış olmak,,
sakalı saydırmak,saygınlıktan düşmek,,
sakata gelmek,tuzağa düşmek | iş ters gitmek,,
sakat olmak,sakatlanmak,,
sakınca görmemek,"çekinilecek, dikkatli olunacak bir durum görmemek",,
sakınması olmamak,"korkusu, çekinmesi olmamak | incelik kurallarına, saygıya aldırmadan davranmak",,
sakıt olmak,hükmü kalmamak,,
sakinleştirici almak,sinirleri yatıştıran bir ilaç içmek,,
sakin olmak,"bir yerde yerleşmek, oturmak | sakin duruma gelmek",,
sakit kalmak,söz söylemesi gerekirken susmak,,
sak durmak,"dikkatli, uyanık durumda bulunmak",,
sak yatmak,derin uykuya dalmadan uyumak,,
salah bulmak,"düzelmek, iyileşmek, onmak",,
salavat getirmek,Hz. Muhammed'e saygı bildirmek için dua okumak | tehlikeli bir durumda dua okumak,,
saldırıya uğramak,"saldırı karşısında kalmak, tecavüze uğramak",,
salık vermek,tavsiye etmek | haber vermek,,
salik olmak,bir yola girmek,,
sallantıda bırakmak,"bir şeyi sonuca bağlamamak, savsaklamak",,
sallantıda kalmak,bir çözüme bağlanmamak,,
sallasırt etmek,"sırtına almak, yüklenmek",,
salma salmak,genellikle köylerde işlerin görülmesi için ihtiyar heyetinin kararıyla her evden para toplamak | yardım amacıyla varlıklı kişilerden gücüne göre para istemek,,
saltanat sürmek,hükümdarlık etmek | bolluk içinde yaşamak,,
salta durmak,köpek arka ayakları üzerine kalkmak,,
salto atmak,rakibe salto uygulamak,,
saman altından su yürütmek,"belli etmeden iş çevirmek, ortalığı karıştırmak",,
samimi olmak,"içten, açık yüreklilikle davranmak | içli dışlı olmak",,
sancak göstermek,"gemi, ulusunu belirten sancağını göndere çekmek [denizcilik]",,
sancısı tutmak,birdenbire ve şiddetli bir ağrı gelmek | hamile doğuma hazırlık sancıları başlamak | tedirgin olmak,,
sandığa gitmek,seçim kararı almak | oy kullanmak,,
sandığa gömmek,seçimde ağır yenilgiye uğratmak,,
sandıktan çıkmak,seçimle işbaşına gelmek,,
sandık başına gitmek,sandığa gitmek,,
sandık düzmek,çeyiz hazırlamak,,
sanısına kapılmak,"sanmak, zannetmek",,
sansasyon yaratmak,büyük bir ilgi ve heyecan oluşturmak,,
sansürden geçirmek,"her türlü yayını, sinema ve tiyatro eserini denetlemek",,
sansür etmek,sansürlemek,,
sansür koymak,sansürlemek,,
santim kaçırmamak,çok dikkatli ve hesaplı olmak,,
santra yapmak,santra noktasından oyunu başlatmak,,
sapartayı vermek,"azarlamak, terslemek",,
saparta (veya sapartayı) yemek,"azarlanmak, terslenmek",,
sapır sapır dökülmek,"birbiri ardınca, arka arkaya gitmek | başarısız olmak",,
saplanıp kalmak,takılıp kalmak | bir konuda yoğunlaşıp başka bir şeyle ilgilenmemek | ağrı uzun süre etkisini göstermek,,
sapla samanı karıştırmak,iyi ile kötüyü ayıramamak,,
sap çekmek,biçilmiş ekini tarladan harmana kaldırmak,,
sap derken saman demek,konuşurken ilgisi olmayan konulardan söz etmeye başlamak,,
sap yiyip saman sıçmak,bir olaya kızıp ateş püskürmek | yararsız şeylerle uğraşmak,,
sarakaya almak,"alay etmek, alaya almak",,
saraka etmek,"biriyle alay etmek, eğlenmek",,
sararıp solmak,giderek daha çok solmak | sağlığı bozulmak,,
sardalya gibi istif olmak,bir yerde çok kalabalık ve sıkışık bulunmak,,
sarfınazar etmek,dikkate almamak | vazgeçmek,,
sarf etmek,"tüketmek, harcamak | kullanmak",,
sarhoşluğa vurmak,"kendini sarhoş gibi göstermek, sarhoş olmuşçasına davranmak",,
sarhoş etmek,alkol veya keyif verici maddeyle sarhoş olmasına yol açmak,,
sarhoş olmak,"sarhoş bir duruma gelmek, esrimek",,
sarılıp kundaklanmak,yoğun etki altında kalmak,,
sarıp sarmalamak,sıkıca sarmak,,
sarı kart görmek,oyun kurallarına aykırı hareket eden oyuncu sarı renkte kart cezası almak,,
sarı kart göstermek,hakem oyun kurallarına aykırı hareket eden oyuncuya sarı renkte kart cezası göstermek,,
sarkıntı olmak,"sataşmak, takılmak, musallat olmak",,
sarmaş dolaş olmak,"birbirine sarılıp kucaklaşmak | iç içe girmek, karman çorman olmak",,
sarsıntıya uğramak,"beklenmedik bir olaydan çok etkilenmek, üzülmek",,
sarsıntı geçirmek,"beklenmedik bir olaydan çok etkilenmek, üzülmek",,
sası kokmak,"yiyecek bozulmak, çürümek",,
satılığa çıkarmak,"satmak, satışa çıkarmak",,
satın almak,"Bir nesneyi belirlenen fiyatını ödeyerek kendine mal etmek; almak, iştira etmek, mübayaa etmek",,
satıp savmak,"gereken parayı sağlamak için elindeki malı ucuza satıp tüketmek, yok pahasına elden çıkarmak",,
satır atmak,"herkesi öldürmek, kırıp geçirmek",,
satışa çıkarmak,satmak için ortaya koymak,,
satışa gelmek,uydurma bir sebeple ortada bırakılmak,,
satış yapmak,satmak,,
satıya çıkarmak,satışa çıkarmak,,
savaşım vermek,mücadele etmek,,
savaş vermek,savaşmak,,
savlet etmek,saldırmak,,
savunmasını almak,soruşturma sebebiyle suçlanan birisinin düşüncesine başvurmak,,
savunma yapmak,haklı olduğunu ortaya koymaya çalışmak | oyunda rakip tarafın hücumlarına karşı koymak [spor],,
savuşup gitmek,"ilgi çekmeden gizlice, aceleyle ayrılmak",,
saya gezmek,köy çocukları ramazanda veya özel günlerde çeşitli tekerlemeler söyleyip kapı kapı dolaşarak ufak tefek yiyecek toplamak,,
sayesinde sayeban olmak,istenilen bir şeyi başkasının aracılığıyla elde etmek,,
sayfa bağlamak,dizgide dökülen kurşun satırları bir sayfa düzeni içinde toplayarak sıkıca iple bağlamak,,
saygısızlık etmek,saygısızca davranışta bulunmak veya söz sarf etmek,,
saygı göstermek,"saymak, değer vermek",,
sayha çıkarmak,yüksek sesle haykırmak,,
sayıp dökmek,ne var ne yok hepsini söylemek,,
sebebiyet vermek,"bir şeye, bir olaya sebep olmak, yol açmak",,
sebepsiz kalmak,yoksul bir duruma düşmek,,
sebep olmak,"bir şeyin olmasına veya ortaya çıkmasına yol açmak, neden olmak",,
sebil etmek,"bol bol vermek, dağıtmak",,
secde etmek,"alnı, eli, ayakları, dizleri, ayak parmaklarını yere değdirmek | saygı göstermek",,
seçim yapmak,seçmek,,
seçisine varmak,ayrıntıyı anlamak,,
seçmeli yemek,"Yemek listesinden seçilen, fiyatları ayrı ayrı hesaplanan yemek; alakart",,
seçmesiz yemek,"Lokanta, otel, okul vb. yerlerde belirli bir para karşılığında verilen birkaç kap yemek; tabildot",,
sedyelik olmak,ayakta duramayacak duruma gelmek,,
sefaletin kucağına bırakılmak,"açlık, yokluk vb. çaresiz durumlara itilmek",,
sefalet çekmek,yoksul ve perişan yaşamak,,
sefasına bakmak,rahatına bakmak,,
sefasını sürmek,"bir durumun getirdiği, sağladığı olanaklardan yararlanmak",,
sefa geldine gitmek,"bir kente, bir mahalleye yeni gelen veya geziden dönen birine ziyarete gitmek",,
sefa sürmek,"rahat, kaygısız, sakin ve eğlenceli yaşamak",,
seferberlik ilan etmek,bir ülkenin silahlı kuvvetlerini savaşa hazır duruma getirmek için gerekli duyuruyu yapmak,,
seferber etmek,"bir iş, bir amaç için bütün olanakları kullanmak",,
seferber olmak,"birçok kimse bir iş, bir amaç için bütün olanaklarıyla girişmek",,
sefere kalkmak,yolculuğa başlamak,,
sefer etmek,"gezmek, yolculuk etmek",,
segman atmak,aşınan segmanı değiştirmek,,
sehpaya çekmek,"asarak öldürmek, darağacına çekmek, asmak",,
seksen kapının ipini çekmek,"içinde bulunduğu sorunu çözmek için kapı kapı dolaşmak, birçok yere uğramak",,
sekteye uğramak,"kesilmek, kesintiye uğramak",,
sekteye uğratmak,"kesmek, kesintiye uğratmak",,
sekte vermek,kesintiye uğramak,,
sekte vurmak,"kesilmesine sebep olmak, kesintiye uğratmak",,
selamete çıkmak,"esenliğe kavuşmak, kurtulmak",,
selamı sabahı kesmek,her türlü ilişkisine son vermek,,
selam çakmak,selam vermek,,
selam etmek,uzakta olan birine esenlik dilemek,,
selam söylemek,selamını birine götürmesini söylemek | birinin gönderdiği selamı başkasına iletmek,,
selam vermek,selamlamak | başını sağ ve sol omuzlarına çevirerek namazı bitirmek [din bilimi],,
selam (veya selama) durmak,"bir büyüğe, bir üste veya saygı duyulan bir şeye ayakta selam vermek",,
selam (veya selamı) almak,birinin selamlamasına karşılık vermek | selam gönderilmiş olmak,,
sele gitmek,sele kapılmak | gereksiz yere telef olmak,,
sele kapılmak,selle sürüklenip gitmek,,
sel gibi akmak,"sıvılar için bol ve gür akmak | zaman çabuk ve hızla geçmek | insanlar kalabalık bir yığın hâlinde gitmek, yürümek",,
sel götürmek,"çok yağmur yağmak | çok yağmurdan dolayı bir bölgede, yollar zor geçilir duruma gelmek",,
sel olup akmak,gitmek,,
sel seli götürmek,çok fazla sel olmak,,
semaha durmak,semah dönmek,,
semah dönmek,semah denilen kutsal dansı gerçekleştirmek,,
semen peyda etmek,şişmanlamak,,
semeresini vermek,"bir şey istenilen verimi, sonucu vermek",,
semeri devirmek,eşek gibi kabaca yatmak,,
semer vurmak,"semeri, yük hayvanının sırtına koyup bağlamak, semerlemek | semer sırtı yaralamak",,
sempatisini kazanmak,"birinin sevgisini, ilgisini ve yakınlığını kazanmak",,
semtine uğramamak,"bir yere özellikle gitmemek | birini hiç aramamak, onunla ilgisini kesmek",,
senet vermek,yazılı ve imzalı belge vermek,,
senli benli olmak,"iç içe olmak, bütünleşmek | aşırı ölçüde içten, teklifsiz olmak",,
sepette pamuğu olmamak,"bilgisiz, boş kafalı olmak",,
sepet havası çalmak,"işinden çıkarmak, sepetlemek | yanından uzaklaştırmak, gitmesini sağlamak, sepetlemek",,
serbest bırakmak,"tutuklu veya gözaltında bulunan birini serbest, özgür duruma getirmek, tahliye etmek | kendi düşüncesi ve iradesine göre davranmasına izin vermek",,
serbest çalışmak,bir işverene bağlı olmadan kendi adına kazanç sağlamak,,
serbest kalmak,"tutuklu veya gözaltında bulunan biri bırakılmak, tahliye edilmek",,
serçe parmak,Beş parmağın en küçüğü; küçük parmak,,
sergin vermek,hastalanıp yatağa yatmak,,
sergi açmak,sergilemek,,
sergi sermek,kurutmak veya göstermek için bir şeyi düz bir yere yaymak,,
serilip serpilmek,rahat bir biçimde yatmak | gelişmek,,
serilip yatmak,rahat bir biçimde yatmak,,
serinlik vermek,"serin duruma getirmek | acısını, sıkıntısını azaltmak, avundurmak | rahatlatmak, huzura kavuşturmak",,
serin tutmak,sıcaktan etkilenmeden daha soğuk bir durumda bulundurmak,,
serkeşlik etmek,"kafa tutmak, başkaldırmak",,
sermayeyi doğrultmak,ticaret için ortaya konan anaparayı batırmadan işletmek ve para kazanmak,,
sermayeyi kediye yüklemek,parasını yiyip bitirmek,,
sermest olmak,"çok hoşlanmak, kendinden geçmek",,
sersefil olmak,"perişan, zavallı durumda olmak",,
serseme çevirmek,sersem etmek,,
serseme dönmek,"sersem bir duruma gelmek, şaşkın bir duruma gelmek",,
sersem etmek,sersemletmek,,
sersem olmak,serseme dönmek,,
sert çıkmak,aşırı biçimde karşı durmak,,
sert damak,Damağın ön bölümü [anatomi],,
servise çıkmak,"ulaşım aracı ile öğrencileri, çalışanları gidecekleri yere taşımak | servis yetkilisi onarım yapmak üzere çağrılan yere gitmek | doktor hastaları durumlarını gözlemlemek üzere ziyaret etmek | bir iş yerinde çay, kahve dağıtımı gibi hizmetleri yapmak üzere dolaşmak",,
servis açmak,"lokantalarda yeni gelen müşterinin masasına tabak, çatal, bıçak, bardak vb. koymak",,
servis atmak,"voleybol, masa tenisi vb. oyunlarda oyuna başlama vuruşunu yapmak [spor]",,
servis etmek,özel bir bilgi veya belgeyi haber kaynağı tarafından istenilen kurum veya kuruluşa göndermek,,
servis yapmak,sofrada hizmet etmek ve yemeği dağıtmak,,
serzenişte bulunmak,yakınmak (II),,
serzeniş etmek,yakınmak,,
ser verip sır vermemek,ağzı sıkı olmak,,
sesini çıkarmamak,bir şey üzerindeki düşüncesini söylememek,,
sesini dikleştirmek,sert bir şekilde konuşmak,,
sesini kesmek,söylemekteyken susmak,,
sesini kısmak,sesini alçaltmak,,
sesini yükseltmek,"yüksek, öfkeli bir sesle söylemek",,
sesi ayyuka çıkmak,çok yüksek sesle bağırmak,,
sessizliğe gömülmek,sessiz duruma gelmek,,
ses çıkmamak,haber gelmemek,,
ses etmek,seslenmek,,
ses getirmek,"yaptığı işle, söylediği sözle dikkatleri çekmek ve kitleleri harekete geçirmek",,
ses kesilmek,"ses, artık duyulmamak",,
ses seda çıkmamak,haber çıkmamak | hiçbir tepki görülmemek,,
ses vermek,herhangi bir sesi çıkarmak | bir çağrıya karşılık vermek,,
set çekmek,"suyun akmasını, toprağın kaymasını önlemek için duvar yapmak | bir işi, bir davranışı, bir isteği önlemek, engellemek",,
sevaba girmek,sevap kazanmak,,
sevdaya düşmek,"âşık olmak, sevmek",,
sevdaya tutulmak,"âşık olmak, sevmek",,
sevda çekmek,"birine tutkun olmak, aşk tutkusu içinde olmak",,
sevgi beslemek,"sevgi duymak, sevmek",,
sevincinden ağzı kulaklarına varmak,çok sevinmek,,
sevinci kursağında kalmak,bir engel sebebiyle hayal kırıklığına uğramak,,
sevinçten (havalara) uçmak,çok sevinmek,,
sevinç yaşları (veya gözyaşları) dökmek,sevinçten ağlamak,,
sevk etmek,"göndermek, götürmek | sürüklemek, itmek",,
sevk olmak,gönderilmek,,
seyahat etmek,"uzak yerleri gezerek görmek, yolculuk etmek",,
seyrana çıkmak,gezintiye çıkmak,,
seyre çıkmak,"bir yerden başka bir yere gitmek için yola çıkmak | eğlenmek üzere gözlemek, bakmak",,
seyre dalmak,bir şeye kendini vererek bakmak,,
seyre koyulmak,seyretmeye başlamak,,
sıcak bakmak,"anlayışla karşılamak, olumlu değerlendirmek, ilgi duymak",,
sıcak olmak,sıcak artmak,,
sıcak yüz göstermek,yakınlık göstermek,,
sıçana dönmek,üstü başı çok ıslanmak,,
sıçan deliğine paha biçilmez olmak,"""güç bir durumda sığınacak bir yer bulmakta güçlük çekmek"" anlamında kullanılan bir söz",,
sıçan deliği aramak,saklanacak bir yer aramak,,
sıçıp sıvamak,öfkelenip kaba küfürlerle dolu sözler söylemek,,
sıdkı sıyrılmak,birine karşı duyulan güven ve inancı yitirmek | birinden veya bir şeyden soğumak | birinden veya bir şeyden bıkmak,,
sıfıra inmek,"bitmek, tükenmek, yok olmak | futbol, hentbol vb. oyunlarda hücum oyuncusu rakip alanda bitiş çizgisine kadar gitmek [spor]",,
sıfırdan başlamak,"en baştan, hiçbir şeye sahip olmadan bir işe girişmek",,
sıfırı tüketmek,"gücü kalmamak | yoksul duruma gelmek, yoksullaşmak | ölmek",,
sıfır çekmek,"halter yarışmalarındaki silkme ve koparma dallarında belirlenen ağırlığı kaldıramayıp elenmek [spor] | öğrenci, sınavda hiçbir soruya cevap verememek",,
sığ gitmek,kıyıya yakın gitmek | dikkatli davranmak,,
sıhriyet peyda etmek,hısımlık oluşturmak,,
sıkıdan geçirmek,dayak atmak,,
sıkıntıda olmak,geçim darlığı çekmek,,
sıkıntısı olmak,"tedirgin, rahatsız eden bir durumda bulunmak | işemesi gerekmek, sıkışmak",,
sıkıntıya düşmek,"darlık, yokluk içinde olmak",,
sıkıntıya gelememek,güç işlere dayanamamak,,
sıkıntı basmak,"çok sıkılmak, can sıkıntısı duymak",,
sıkıntı çekmek,zorluk veya yoksulluk içinde yaşamak,,
sıkıntı vermek,"tedirgin etmek, bunaltmak",,
sıkıp suyunu çıkarmak,sömürmek,,
sıkıya almak,hareketlerini sınırlamak veya önlemler almak | disiplin altına almak,,
sıkıya gelmek,güç bir durumla karşılaşmak,,
sıkı basmak,"güçlü davranmak, direnmek",,
sıkı durmak,"güçlü, dayanıklı olmak, dikkatli bulunmak",,
sıkı tutmak,"önem vermek | sürekli olarak denetlemek, kontrol altında bulundurmak | bir işte disiplinli olmak",,
sılaya gitmek,"bir süre ayrı kaldığı evini, yurdunu görmeye gitmek | anne, baba ve diğer akrabalarını görmek için memlekete gitmek",,
sıla etmek,sılaya gitmek,,
sınava çekilmek,birinin bilgisi ölçülmek,,
sınava girmek,"bir kimse, bir konu üzerindeki bilgisinin ölçülmesini sağlamak için yapılan yoklamada hazır bulunmak",,
sınavdan geçmek,sınava girmek | girilen sınavda başarılı olmak,,
sınavda bırakmak,sınavda başarısız saymak,,
sınav açmak,"kazananı boş kadroya, işe almak amacıyla sınav düzenlemek",,
sınav vermek,sınavdan geçmek,,
sınıfta bırakmak,sınıf geçmesine engel olmak,,
sınıfta çakmak,sınıfta kalmak,,
sınıfta kalmak,"başarılı olamayan öğrenci, bir üst sınıfa geçemeyerek aynı sınıfta yeniden okumak | herhangi bir işte başarısız olmak",,
sınıf atlamak,üstün başarı göstererek bir üst sınıfta öğrenim görmeye hak kazanmak | daha üst kabul edilen sosyal ve kültürel tabakaya dâhil olmak,,
sınırlarını (veya sınırını) zorlamak,en son noktaya kadar çaba göstermek | bütün gücünü en son noktaya kadar kullanmak,,
sınırları aşmak,haddini aşmak,,
sınır dışı etmek,bir kimseyi bulunduğu ülkede yaptığı yasa dışı eyleminden dolayı devlet eliyle ülkenin sınırları ötesine çıkarmak,,
sıram sıram dizilmek,"sıra veya sıralar oluşturacak biçimde yan yana, arka arkaya gelmek",,
sırasına getirmek,"uygun zamanını, fırsatını bulmak",,
sırasını kaybetmek,"çocuk veya bebek, hastalık veya başka bir sebep dolayısıyla uyku ve meme zamanını şaşırmak",,
sırası düşmek,uygun zamanı gelmek,,
sırası gelmek,bir başkasından sonra sıra birinin veya bir şeyin olmak | sırası düşmek,,
sırat köprüsünden geçmek,"bir iş yaparken sıkıntılı, eziyetli durumlar içinde kalmak | çok tehlikeli ve zorlu bir durumdan kurtulmak",,
sıraya dizmek,sıralamak | bir topluluk içinde herkese aynı biçimde davranmak,,
sıraya koymak,"düzenlemek, sıralamak",,
sıra dayağı çekmek,birden çok kişiyi teker teker ve birbirinin ardı sıra dövmek,,
sıra olmak,"düzenli bir biçimde sıra oluşturmak, dizilmek",,
sıra saygı gözetmek,karşılıklı saygı göstermek,,
sıra (veya sırasını) savmak,sırayla yapılan bir işte sıra kendine geldiğinde gereğini yapmak,,
sırdaş olmak,güvenilen bir kimseyle sırrını paylaşmak,,
sırılsıklam olmak,çok ıslanmak,,
sırra ermek,"gizli tutulan veya sır durumunda olan bir şeyi anlamak, kavramak",,
sırra kadem basmak,"ortalıktan yok olmak, kaybolmak, ortalıkta görünmemek",,
sırsıklam olmak,çok ıslanmak,,
sırtına almak,yüklenmek | bir giyeceği giymek veya sırtına örtmek,,
sırtına geçirmek,bir şeyi giymek,,
sırtından atmak,"başından savmak veya birinin, bir şeyin sorumluluğunu, yükünü üzerine almamak",,
sırtından bıçaklamak,ihanet etmek,,
sırtından çıkarmak,bir kimseye ödetmek,,
sırtından geçinmek,geçimini bir kimseden sağlamak,,
sırtından (para) kazanmak,para kazanmak için birini kullanmak,,
sırtında yumurta küfesi olmamak,eski düşünce ve yönünü kolayca değiştirmek veya sözünden caymakta sakınca görmemek,,
sırtını dönmek,sırt çevirmek,,
sırtını sıvazlamak,birini desteklediğini göstermek,,
sırtını yere getirmek,güreşte hasmı sırtüstü yere yatırarak yenmek | üstün gelmek,,
sırtı kaşınmak,dayak yemeyi hak edecek davranışta bulunmak,,
sırtı yere gelmek,"yenilmek, alt olmak",,
sırtı yere gelmemek,"bir işte herhangi bir zorluk karşısında sarsılmamak, konumunu kaybetmemek, güçlü olmak",,
sırtüstü yatmak,sırtı yere gelmek üzere yatmak | hiçbir şey yapmamak | çalışmadan rahat bir yaşam sürmek,,
sırt sırta vermek,iş birliği yapmak,,
sırt (veya sırtını) çevirmek,"bir şeye veya birine önem vermemek | bir şeyden veya bir kimseden desteğini, ilgisini kesmek | birine darılmak",,
sıskası çıkmak,aşırı zayıflamak,,
sıska olmak,karın boşluğuna su dolarak karnı şişmek | aşırı zayıf olmak,,
sıtma tutmak,ateş ve ter nöbetleriyle titremeye başlamak,,
sıva vurmak,sıvamak,,
sıyanet etmek,korumak,,
sıygaya çekmek,birine sorular sorup cevaplarını istemek,,
sıyırıp çıkarmak,çekip kurtarmak,,
sızıp kalmak,çok içki içip veya çok yorulup uyuyakalmak,,
siciline işlemek,bir çalışanın olumlu veya olumsuz davranışlarını siciline kaydetmek,,
sicil vermek,"sorumlu bir görevli, yanında çalışan birinin bir aşamaya gelmesinde yeterli olup olmadığını gereken makama bildirmek",,
siftah etmek,"esnaf aynı gün içerisinde ilk kez satış yapmak, siftahlamak | bir işi ilk kez yapmak",,
sigara içmek,sigarayı bir ucundan yakıp öbür ucundan dumanını emerek içine çekmek,,
sigara (veya sigarasını) sarmak,sigara kâğıdına tütün koyarak sigara yapmak,,
sigaya çekmek,birine sorular sorup cevaplarını istemek,,
sigortası atmak,çok sinirlenmek,,
sigorta atmak,bir arıza sonucu sigortada elektrik akımı kesilmek,,
sigorta etmek,"bir şeyi, bir kimseyi ileride olabileceği düşünülen kazanın zararını gidermek için sigortaya bağlamak",,
sigorta olmak,bir kimse veya bir şey ileride olabileceği düşünülen kazanın zararını gidermek için sigortaya bağlanmak,,
siktirip gitmek,başını alıp gitmek,,
silahaltına almak,askerlik görevine başlatmak,,
silahaltında bulunmak,askerlik görevini yapmak,,
silaha davranmak,kullanmak için silahına el atmak,,
silaha sarılmak,silah kullanarak mücadeleye girişmek | silah çekmek,,
silah atmak,"tabanca, tüfek vb.nin tetiğini çekip ateşlemek",,
silah başı etmek,"askerlikte, verilen komut üzerine herkes görevi başına geçmek [askerlik]",,
silah çatmak,silahları uç uca çapraz bir biçimde dayayarak durdurmak [askerlik],,
silah çekmek,silahla vurmaya davranmak | silahla vurmak,,
silah patlamak,silah ateş almak | savaş başlamak,,
silah silaha girmek,karşılıklı olarak ateş etmek,,
silindir gibi ezmek,bir kimseyi her yönüyle güçsüz duruma getirmek,,
silinip gitmek,bir şey birdenbire yok olmak veya unutulmak,,
silip atmak,ilgi ve ilişkisini tamamen kesmek,,
silip süpürmek,"evi, ortalığı temizlemek | ne var ne yoksa hepsini yemek | ne var ne yok hepsini alıp götürmek veya yok etmek",,
silkinip sıyrılmak,kendine gelip kurtulmak,,
silkip atmak,her türlü ilgisini kesmek,,
sinek avlamak,müşterisi olmayıp boş oturmak,,
sinerji yaratmak,bir sonuca katkısı olabilecek birkaç etkeni bir arada harekete geçirerek güç elde etmek,,
sineye çekmek,"kötü bir davranış, söz veya olaya ister istemez katlanmak",,
sineyimillete dönmek,bulunduğu makamı veya görevi terk edip halktan biri olmak | halk oylamasına başvurmak,,
sinirine dokunmak,"hoşuna gitmemek, sinirlendirmek",,
siniri oynamak,"öfkelenmek, sinirlenmek",,
siniri tutmak,birdenbire sinirlenmek veya davranışlarını denetleyememek,,
sinirlerine hâkim olmak,"davranışlarını ve kendini denetleyebilmek, soğukkanlı olmak",,
sinirlerini bozmak,"kızdırmak, sinirlendirmek",,
sinirlerini germek,birini sinirlenmeye hazır bir duruma getirmek,,
sinirleri altüst olmak,"sinirleri bozulmak, sinirlenip ne yapacağını şaşırmak",,
sinirleri ayakta olmak,çok sinirlenmiş veya öfkelenmiş bulunmak,,
sinirleri boşanmak,"sinirlenip kendini tutamayarak gülmek, ağlamak veya bağırmak",,
sinirleri bozmak,"kızdırmak, öfkelendirmek",,
sinirleri bozulmak,"çok sinirlenmek, ne yapıp edeceğini bilmeden şaşkın, karmaşık bir duruma düşmek",,
sinirleri gergin olmak,sinirlendirici yeni bir olay çıkarsa hemen tepki gösterecek durumda olmak,,
sinirleri gerilmek,sinirlenmeye hazır bir durumda bulunmak,,
sinir buhranına tutulmak,bunalım geçirmek,,
sinir buhranı geçirmek,bunalım içinde olmak,,
sinir kesilmek,"çok sinirlenmek, öfkelenmek",,
sinir küpüne çevirmek,aşırı derecede sinirlendirmek,,
sinir küpüne dönmek,aşırı derecede sinirlenmek,,
sinir küpü olmak,aşırı derecede sinirli olmak,,
sinir sahibi olmak,devamlı sinirlenir durumda olmak,,
sinkaf etmek,erkek cinsel organını anarak küfretmek,,
sinyal almak,"işaret almak, belirtilerin farkına varmak",,
sinyal vermek,bir şeyi işaretle bildirmek,,
sipariş almak,bir şeyin yapılması veya gönderilmesi kendisine ısmarlanmak,,
sipariş etmek,"bir şeyin yapılmasını veya bir şeyin gönderilmesini bu işlerle uğraşan birinden istemek, ısmarlamak",,
sipariş vermek,"bir şeyin yapılmasını, getirilmesini veya gönderilmesini bu işlerle uğraşan birine ısmarlamak",,
sipere yatmak,"siper içine saklanmak, gizlenmek",,
siper almak,bir şeyi veya bir yeri siper olarak kullanıp gizlenmek,,
siper etmek,kendini veya bir şeyi korumak amacıyla bir başka şeyi siper olarak kullanmak | bir şey veya bir kimse için kendini tehlikeye atmak,,
siper olmak,birini veya bir şeyi korumak amacıyla kendini siper olarak kullanmak,,
sipsivri kalmak,herkesin gitmesiyle yalnız kalmak | ortada kalmak,,
sirayet etmek,"hastalık geçmek, bulaşmak | etkisi altına almak",,
sireti suretine uymamak,"içyüzüyle dış görünüşü uyumsuz olmak, göründüğü gibi olmamak",,
sis perdesi aralanmak,gizli ve karanlık noktalar ortaya çıkmak,,
sitemde bulunmak,sitem etmek,,
sitem etmek,"bir kimseye üzüldüğünü, kırıldığını öfkelenmeden belirtmek",,
siya siya gitmek,geri geri gitmek,,
siyem siyem ağlamak,"hafif hafif, ince ince, durmadan gözyaşı dökmek",,
siyem siyem yağmak,"yağmur, kar ince ince yağmak",,
siyim siyim ağlamak,"hafif hafif, ince ince, durmadan gözyaşı dökmek",,
siyim siyim yağmak,"yağmur, kar ince ince yağmak",,
skala yapmak,çalgı perdelerine parmak alıştırmak,,
slogan atmak,sloganı bağırarak söylemek,,
sofra donatmak,sofraya bol ve türlü yiyecekler koymak,,
sofra (veya sofrayı) kurmak,yemek yemek için sofra takımını dizmek ve yiyecekleri hazırlamak,,
soğan ekmeğe kalmak,yokluk yüzünden temel ihtiyaç maddelerini karşılayamaz duruma düşmek,,
soğan ekmek,"Ucuz ve kolay ulaşılabilen yiyecek | Gösterişsiz, sade sofra veya yemek",,
soğukkanlı olmak,"kolayca, öfke, telaş ve heyecana kapılmamak",,
soğuk almak,"üşüyerek hastalanmak, üşütmek",,
soğuk çalmak,"soğuk, bitkiye zarar vermek",,
soğuk çıkmak,hava soğumak,,
soğuk durmak,"ilgisiz, sevimsiz davranmak",,
soğuk duş etkisi yapmak,ansızın bildirilen tatsız bir haber olumsuz bir tepki yaratmak,,
soğuk espri yapmak,"güldürmeyen, niteliksiz, yersiz espri yapmak",,
